bird ID,Fruits_pcbiomass,Infructescence_pcbiomass,Catkins_pcbiomass,Leaves_pcbiomass,Dry oct leaf_pcbiomass,BC-index,Standardized BC-index
LM-13-110,41.11061198,3.334600366,0.411209786,24.36849926,23.58754622,31.00698853,0.854972291
LM-13-111,42.33222761,0.637917836,0,36.9992345,15.53967849,17.14520264,0.327842472
LM-13-113,18.66775835,19.7087549,13.55050003,26.48108076,21.45154687,-18.22579956,-1.017230244
LM-13-115,23.12008255,12.01470399,0.722301045,57.5970592,56.77157229,-0.644622803,-0.348661086
LM-13-121,0,0,0,32.77777778,32.77777778,-17.15438843,-0.976487099
LM-13-122,100,0,0,0,0,-21.65490723,-1.147630823
LM-13-123,45.97962154,17.93304221,0.232896652,27.01018923,23.41193595,-27.53027344,-1.371056632
LM-13-132,32.38404008,0.03315772,0,53.20340419,51.48288693,-5.854827881,-0.546792444
LM-13-134,21.19783482,5.03754147,0,66.71031954,66.71031954,-21.45318604,-1.139959859
LM-13-135,82.2948587,3.944744394,0,10.2047765,6.58592344,28.15948486,0.74668869
LM-13-136,20.04325883,19.51453977,0,2.066810863,2.018745494,16.53253174,0.304544096
LM-13-138,29.62207167,51.18765815,0,16.30887275,14.16210922,16.27780151,0.294857328
LM-13-139,28.09632321,36.87873376,0,14.28835376,13.75869927,7.141479492,-0.052574656
LM-13-142,1.887719988,42.32622161,17.35325927,6.262904336,0,-27.64065552,-1.375254193
LM-13-145,100,0,0,0,0,20.04541016,0.438130271
LM-13-146,38.68524106,57.26391475,0.905180715,1.007896257,0,-2.778259277,-0.429798063
LM-13-147,8.895877794,86.70111198,3.380882848,0.348197237,0,-20.13464355,-1.089818913
LM-13-148,82.06546023,17.49888293,0,0.435656836,0,-0.158813477,-0.330186945
LM-13-151,97.41146065,2.184711061,0,0.403828292,0,-6.02545166,-0.553280849
LM-13-152,74.25890195,21.60147343,0,0.315734082,0,25.04013062,0.628067276
LM-13-154,100,0,0,0,0,-10.51141357,-0.72387101
LM-13-155,1.27388535,0,0,0,0,24.4041748,0.603883432
LM-13-157,0,14.32692308,0,47.38782051,45.06410256,36.63745117,1.069085016
LM-13-158,0,7.215332582,0,87.99323563,87.99323563,9.946594238,0.054096998
LM-13-160,59.90210551,0.202004506,0,39.89588999,39.89588999,-3.959442139,-0.474715559
LM-13-161,9.387605427,0,0,56.94902824,56.94902824,30.09484863,0.820285841
LM-13-162,47.57371847,3.019858854,0,37.59505443,36.67596696,63.40426636,2.086961541
LM-13-163,19.89808917,69.85987261,0,7.840764331,5.292993631,4.756408691,-0.143273066
LM-13-164,12.18957485,55.5262096,0,25.46861817,25.1788269,20.22369385,0.444909964
LM-13-165,73.86018237,15.8662614,0,5.227963526,4.741641337,-5.145568848,-0.519821057
LM-13-166,12.84931453,44.95017454,2.911523236,23.72706176,22.20987149,34.26837158,0.978994713
LM-13-167,28.07237999,30.33174164,0.701181201,7.195275195,7.034430761,45.04138184,1.388665948
LM-13-168,3.911674742,0.058794198,38.78705337,2.75216385,0,63.53189087,2.091814789
LM-13-174,78.86749066,0,16.77493533,3.863179074,3.55849382,24.72866821,0.616223123
LM-13-175,22.70849881,38.41143765,4.138204925,21.68387609,13.86814932,-13.49493408,-0.837326999
LM-13-178,24.48024148,30.83130563,23.0972988,11.97523639,0,21.03875732,0.475904835
LM-13-182,52.0963021,7.226779899,1.8551346,38.61565734,38.61565734,15.48013306,0.264523947
LM-13-183,3.065521307,78.85014878,11.47605412,6.394924485,5.648194936,27.25271606,0.71220649
LM-13-185,98.79492145,0.516462234,0,0.688616312,0,16.6652832,0.309592309
LM-13-190,14.19435068,0.834961805,0,78.29099307,0,-31.98425293,-1.54043058
LM-13-191,0,0.088163985,0,61.769892,0,-18.05685425,-1.010805667
LM-13-192,71.69910114,22.52378043,0,0.593420019,0,-8.216644287,-0.636606546
LM-13-193,18.46852693,14.43218689,9.837767683,55.54834523,54.86048021,-5.210540771,-0.52229178
LM-13-201,58.56390977,35.4962406,1.917293233,2.586466165,0,36.45199585,1.062032604
LM-13-231,92.65707797,5.970855413,0,0.501514005,0,20.36138916,0.45014618
LM-13-232,99.27091328,0.729086723,0,0,0,37.30743408,1.094562828
LM-13-233,6.849052994,0,0,66.44346662,66.32867802,12.38156128,0.14669284
LM-13-234,27.40633075,1.889534884,0,62.67764858,62.49192506,-40.80459595,-1.875846656
LM-13-242,22.06128683,8.41462213,6.907084442,27.98305252,3.448615627,-41.38299561,-1.89784178
LM-13-244,100,0,0,0,0,40.09088135,1.200410521
LM-14-011,0,0,0,1.788908766,0,-19.20635986,-0.470696896
LM-14-013,0,0,0,10.91330326,0.07316181,-9.575836182,-0.034079924
LM-14-022,0,7.074419215,5.026906418,56.28035175,0,16.45452881,1.146053112
LM-14-024,93.45347554,0,0,6.546524458,0,-18.75918579,-0.450423462
LM-14-026,4.09219191,0,0,7.47883349,0,-38.87637329,-1.362472047
LM-14-030,82.33957978,0,0,0.075714556,0,-6.583099365,0.101601139
LM-14-032,87.74745339,3.738227945,0,5.986930617,5.986930617,19.27206421,1.273791106
LM-14-033,95.53622772,0,4.08280621,0.194077056,0,-48.40206909,-1.79433646
LM-14-034,20.00855676,2.67398745,32.68682259,3.893325727,3.893325727,17.8984375,1.211515288
LM-14-035,53.31460248,7.791024375,3.174121042,4.44225074,0,6.260803223,0.683902376
LM-14-036,47.14605749,4.48048465,5.395513205,14.62152526,12.79462342,-16.11975098,-0.330759976
LM-14-037,18.07650969,1.496755702,0,2.209306954,0.780223717,-16.60092163,-0.352574706
LM-14-043,100,0,0,0,0,-22.20529175,-0.606658824
LM-14-045,81.72966949,0,0,12.09712895,11.30238423,16.79721069,1.161589206
LM-14-046,99.52754417,0,0,0,0,-6.853088379,0.089360705
LM-14-051,91.97978257,0.715239367,0,2.498569521,2.489032996,38.0501709,2.125130073
LM-14-056,32.14369807,1.019206835,19.13283326,8.742305493,8.695213428,2.599578857,0.517914238
LM-14-058,0,0,15.93132998,4.843379075,0.130276186,-4.653106689,0.1891008
LM-14-065,0,0,0,70.16574586,0,-63.2013855,-2.465289872
LM-14-068,0,0,0,2.299952084,0,-30.82919312,-0.997638777
LM-14-073,0,0,0,0.787401575,0,-4.96685791,0.174876328
LM-14-074,0,0,0.744359153,3.070481507,0,29.1350708,1.720948106
LM-14-075,65.78787141,0,0,34.21212859,34.21212859,24.37036133,1.504931501
LM-14-076,9.582542694,0.966016905,0.569259962,87.20890116,87.10539934,-25.02560425,-0.734522722
LM-14-077,68.6835813,0,0,31.3164187,30.30685441,66.77566528,3.427451609
LM-14-081,100,0,0,0,0,-6.287261963,0.115013455
LM-14-083,51.12016293,0,4.967187146,8.972618239,8.010862186,-7.463775635,0.061674109
LM-14-092,99.75849898,0,0,0,0,-9.804748535,-0.044458074
LM-14-100,89.74895397,0.10460251,0,0,0,-16.93078613,-0.367529702
LM-14-101,73.40585146,0,7.826956739,10.14003501,0,-22.45788574,-0.618110623
LM-14-102,0,0,12.82946967,28.10416005,14.25849476,35.68551636,2.017924241
LM-14-104,21.10593352,7.654551103,34.45169307,8.226157192,0,-23.36508179,-0.659239974
LM-14-105,66.4375356,0,7.522045682,0.471355343,0,2.277770996,0.503324505
