BirdID,Wing_mm,Head_mm,SternL_mm,BodySize,GizzardEmptyFFDM,TotalFat,LDBM,Oxalat,OxalatIntens
LM-10-211,190,52.07,84.4,-1.107970974,3.35,10.2796066,112.089242,0,
LM-10-215,186,51.05,80.73,-2.604088538,3.27,5.27351599,108.0808436,0,
LM-10-218,208,55.11,88.19,2.399972701,3.41,3.13851853,130.5585,0,
LM-10-220,185,50.15,79.87,-3.198203438,3.49,2.16251418,88.5071112,1,2
LM-10-222,205,52.97,86.51,1.007782398,2.95,4.44551462,123.4697428,0,
LM-10-223,198,53.78,87.86,0.952377131,3.64,8.60945106,125.3814656,0,
LM-10-225,200,55.93,88.25,1.987847881,4.4,8.96779465,135.3201192,0,
LM-10-229,193,52.66,81.02,-1.334034967,3.81,6.43449095,110.4240316,0,
LM-10-241,202,55.26,90.88,2.477830224,3.59,4.63158637,120.635502,0,
LM-10-243,200,54.29,86.82,1.097930784,3.22,4.31366122,126.3978404,0,
LM-10-251,184,52.67,81.9,-1.95581111,3.03,5.62475347,116.6924484,0,
LM-10-257,192,51.48,82.56,-1.525961113,3.27,7.30443682,113.6289284,0,
LM-10-258,188,54.21,85.51,-0.285119476,3.73,7.88882974,120.63909,0,
LM-10-259,197,55.7,87.54,1.486346902,3.29,3.4882585,121.039244,0,
LM-10-265,202,55.65,87.78,1.968533588,2.92,5.65903448,131.0309392,1,1
LM-10-268,205,53.35,87.2,1.289145695,4.33,5.81542065,121.1538836,0,
LM-10-270,206,53.21,88.67,1.636800286,4.06,4.63957319,128.2895692,0,
LM-10-271,203,54.7,89.02,1.976468627,3.64,4.50241959,122.86267,0,
LM-10-272,206,54.7,89.5,2.346992156,3.78,5.65404268,123.3944996,0,
LM-10-274,185,52.12,80.23,-2.413755975,3.65,3.49435144,108.0828156,0,
LM-10-285,201,52.74,87.4,0.751611498,3.4,3.83174452,122.4771472,-99,
LM-10-288,188,51.79,84.61,-1.344688198,3.63,8.47806707,107.5523664,1,2
LM-10-289,196,51.85,85.05,-0.511067724,3.26,7.54463895,119.4328324,0,
LM-10-291,201,54.64,87,1.351595028,3.58,3.40453051,118.5087368,0,
LM-10-292,198,54.6,85.62,0.778065191,3.54,5.96223452,121.0968596,0,
LM-10-293,205,54.42,85.77,1.37455807,3.16,5.22365771,131.0770788,0,
LM-10-295,200,52.74,83.47,-0.16196394,3.65,5.1563877,121.9569908,1,3
LM-10-304,187,52.81,84.46,-1.099002194,3.39,8.0810824,114.7383328,1,2
LM-10-306,193,52.11,83.5,-1.0122539,3.52,8.21665052,121.2667484,0,
LM-10-307,204,54.73,85.21,1.27879248,3.94,2.87536911,122.5826772,1,1
LM-10-324,188,53.07,81.51,-1.53367368,3.15,7.18673622,104.3955812,1,2
LM-10-326,203,54.41,85.65,1.165856782,4.08,4.44661576,117.0045028,1,2
LM-10-327,196,55.7,85.6,0.989809796,3.82,3.95014989,112.2110192,0,
LM-11-001,196,53.67,84.53,0.034975752,4.09,5.84343278,113.3461748,0,
LM-11-003,205,54.67,88.69,2.076468757,4,5.57110743,130.6808688,0,
LM-11-004,185,52.89,82.94,-1.568706268,4.09,5.38692956,117.3527984,0,
LM-11-009,203,55.06,89.05,2.1123197,3.68,9.37144457,134.3168364,0,
LM-11-011,192,52.44,85.46,-0.572712642,3.77,10.12806484,129.8864768,0,
LM-11-014,191,50.68,78.88,-2.67506494,3.45,3.66198336,100.9192096,1,2
LM-11-016,201,52.61,86.96,0.612614995,3.14,6.03678658,120.6424424,1,2
LM-11-022,201,52.54,89.23,1.063139076,4.75,5.79847833,129.9973696,0,
LM-11-025,196,51.17,85.73,-0.613294281,4.38,2.80231456,114.2641188,0,
LM-11-026,199,54.56,85.89,0.910229397,3.91,2.49231681,125.3391112,0,
LM-11-027,204,54.09,87.9,1.612191602,3.63,3.05866627,132.7397256,1,2
LM-11-030,185,49.4,81.59,-3.107673326,3.35,6.81334419,104.7749524,0,
LM-11-031,190,52.95,89.19,0.212567116,3.95,5.46108525,127.6012988,0,
LM-11-033,202,53.74,87.58,1.239210855,3.53,3.05866627,123.6663688,0,
LM-11-034,204,55.87,87.57,2.183656801,3.79,4.72259641,128.5444024,0,
LM-11-038,194,53.04,86.51,0.043227059,3.63,5.00506637,111.995188,0,
LM-11-040,204,54.62,88.13,1.851139105,3.5,6.39222312,124.545508,0,
LM-11-042,183,51.9,82.54,-2.188788486,3.54,4.27487275,110.7354944,0,
LM-11-043,189,51.03,82.86,-1.89497746,3.65,6.5124344,107.874122,0,
LM-11-048,200,53.89,86.1,0.803082474,3.72,2.42654431,116.6562072,0,
LM-11-084,194,52.94,82.82,-0.766065193,3.63,3.24086229,126.7017712,0,
LM-11-086,190,50.43,82.07,-2.186498372,3.44,6.14702919,103.3942704,0,
LM-11-088,188,50.77,80.75,-2.520715001,3.81,12.55072956,116.8142256,0,
LM-11-089,185,50.78,84.29,-2.045180183,4.01,2.57366658,107.4511748,0,
LM-11-092,190,52.39,84.92,-0.883828077,3.56,4.32869473,114.0178036,0,
LM-11-093,196,51.98,87.3,0.007245052,3.7,3.41568829,103.1685408,0,
LM-11-097,200,54.74,87.07,1.312277613,3.76,3.75347774,127.440914,0,
LM-11-100,188,52.92,83.05,-1.264925524,3.63,5.39888008,106.8062832,0,
LM-11-101,191,52.77,83.28,-1.000778771,3.75,6.87436025,113.8669228,0,
LM-11-104,204,55.22,88.55,2.15509735,3.59,5.78162398,139.7344288,0,
LM-11-115,199,53.75,87.19,0.891147358,3.7,4.4474085,122.695542,0,
LM-11-116,191,53.24,84.54,-0.567571267,4.11,4.22762805,115.0005008,0,
LM-11-117,201,54.75,87.69,1.535785278,3.88,6.08015555,125.0931904,0,
LM-11-119,192,51.21,82.98,-1.53511602,3.65,7.77289056,116.0289432,0,
LM-11-120,189,51.8,84.07,-1.364278254,4.47,4.45658443,126.5849624,0,
LM-11-126,193,51.61,82.65,-1.370335938,3.96,9.23191275,127.1451068,0,
LM-11-127,205,52.21,86.51,0.734258266,4.01,6.95826418,127.5227032,0,
LM-11-128,189,50.95,83.68,-1.751924532,3.37,4.80443052,111.9383612,0,
LM-11-130,198,53.55,83.36,-0.073451415,3.63,4.05390319,129.4045336,0,
LM-11-131,200,54.71,88.64,1.6305008,3.76,4.53850651,122.6298028,0,
LM-11-132,182,51.82,82.34,-2.349471023,3.85,3.87947356,110.6521276,0,
LM-11-133,202,53.91,87.3,1.241715124,3.5,4.12656137,128.838632,0,
LM-11-135,203,54.26,88.3,1.66722431,3.69,5.50722881,134.8193652,0,
LM-11-137,200,53.95,89.22,1.478525528,3.68,4.54847518,125.3610772,0,
LM-11-138,201,53.32,89.84,1.471697082,3.91,2.99447925,116.3049536,0,
LM-11-142,197,53.52,86.77,0.540397932,4.31,3.06713743,126.0315228,0,
LM-11-143,194,51.76,81.97,-1.36887935,4.14,9.3234951,122.95771,0,
LM-11-145,207,54,87.88,1.845540615,4.29,3.54366596,126.7312692,1,1
LM-11-147,201,54.6,86.85,1.305763971,3.87,4.13771915,126.3125016,0,
LM-11-148,203,54.85,89,2.026262313,3.94,4.14619031,129.8395484,0,
LM-11-152,192,51.09,83.16,-1.54058198,3.69,5.22405408,106.457396,0,
LM-11-155,190,53.05,83,-1.048662605,4.05,9.26509262,119.8480504,0,
LM-11-156,207,55.48,88.83,2.577281524,4.45,1.834385,135.4442628,0,
LM-11-157,180,51.99,80.37,-2.881089232,3.83,9.15377843,119.2625492,0,
LM-11-162,192,53.92,83.67,-0.415185317,3.72,6.72193778,118.2329236,0,
LM-11-163,202,53.77,90.45,1.851465154,4.3,2.34510657,124.2267104,0,
LM-11-165,189,51.03,80.99,-2.286867752,3.74,6.72352326,115.7372772,-99,
LM-11-169,190,52.4,82.21,-1.448155649,3.78,5.17592867,109.5741932,0,
LM-11-171,195,52.21,80.15,-1.498359091,3.66,3.3699411,122.6082312,0,
LM-11-172,188,50.68,80.01,-2.708185597,3.94,2.91304151,107.3444616,0,
LM-11-175,190,51.89,84.98,-1.051204144,3.88,1.4043964,121.7779924,0,
LM-11-177,206,54.77,89.45,2.361706818,3.91,5.99103939,130.3476372,0,
LM-11-181,195,53.83,88.49,0.832467982,3.92,8.10220885,124.1875112,0,
LM-11-190,194,52.08,84.47,-0.729793791,3.97,5.31356661,116.7773928,0,
LM-11-191,192,52.81,86.36,-0.250939277,3.72,1.0028163,116.3140632,0,
LM-11-200,195,53.55,85.41,0.086229569,4.43,6.39950517,122.6464444,0,
LM-11-201,191,52.03,81.15,-1.713482612,3.9,3.38569431,111.8245104,0,
LM-11-202,187,52.86,86.6,-0.632533802,4.03,4.66846603,128.9499192,0,
LM-11-203,206,53.21,90.04,1.923907078,4.05,4.7587713,135.2330056,0,
LM-11-205,178,50.49,80.55,-3.563171678,4.12,3.85335531,102.0791304,0,
LM-11-206,188,51.84,85.24,-1.194665978,3.42,5.11411987,114.5185576,0,
LM-11-209,202,55.49,89.28,2.225300062,3.58,5.17751415,134.3556412,0,
LM-11-210,203,55.3,87.6,1.894823589,3.87,4.17230856,128.7988412,0,
LM-11-221,192,53.41,86.44,-0.018233812,3.38,2.35547161,98.3845612,0,
LM-11-255,191,51.6,83.15,-1.449105684,3.89,6.82150695,114.6407292,0,
LM-11-257,198,54.45,90,1.641983631,3.91,3.88105904,135.5101992,0,
LM-11-259,198,53.5,87.82,0.843222402,3.67,3.4033414,116.1631824,0,
LM-11-260,205,54.05,87.1,1.520119117,3.82,4.886661,132.9115864,0,
LM-11-261,197,54.72,85.91,0.792050519,3.47,2.56528339,116.0584412,0,
LM-11-263,203,56.37,90.17,2.818503969,3.85,3.54326959,129.9444868,0,
LM-11-265,200,53.32,86.02,0.581174014,3.71,2.99527199,109.7276376,0,
LM-12-001,195,51,83.86,-1.156344726,4.3,11.88049434,113.525962,1,3
LM-12-002,188,50.79,83.05,-2.031512894,3.5,6.41154366,103.5465316,1,2
LM-12-004,190,51.85,85.01,-1.059313141,3.48,4.81180054,110.4655972,0,
LM-12-005,197,55.88,90.93,2.261561068,4.22,8.14425625,124.85914,1,3
LM-12-008,188,52.1,82.6,-1.654348817,4.21,11.06277004,112.9584828,0,
LM-12-009,201,54.72,87.09,1.399248072,3.91,7.77995218,120.2941468,0,
LM-12-010,190,52.27,83.2,-1.287471341,3.62,4.69308677,104.283308,0,
LM-12-011,197,53.08,85.22,0.057213003,4.14,8.18113591,112.1009152,0,
LM-12-014,187,51.71,81.42,-2.131976069,3.51,8.0754738,110.2456248,1,2
LM-12-016,204,56.26,88.84,2.590167961,3.98,9.55902876,135.6713728,0,
LM-12-019,189,52.4,84.19,-1.12319011,3.15,7.02482942,119.018206,0,
LM-12-020,193,52.45,86.1,-0.345013637,4.56,9.13830406,107.1828936,0,
LM-12-021,187,52.3,82.13,-1.770842396,3.38,8.12273343,102.0812996,1,2
LM-12-022,192,52.26,84,-0.943462496,3.71,8.80249646,114.4722208,1,1
LM-12-023,196,55.34,89.6,1.698513739,3.87,4.81180054,125.22881,0,
LM-12-028,206,54.86,85.99,1.668996009,3.97,7.21232564,138.7808352,0,
LM-12-029,195,55.5,84.83,0.666486048,4,6.98486677,112.2601168,0,
LM-12-030,205,55.42,88.42,2.289810797,3.75,8.45165535,114.7888492,0,
LM-12-032,195,51.98,84.78,-0.610840915,3.88,18.62917824,128.7346796,1,1
LM-12-035,205,56.81,90.75,3.278363152,4.48,9.84038265,138.8277636,1,1
LM-12-036,199,54.72,88.19,1.449817528,4.25,8.57503759,134.725114,1,1
LM-12-040,205,53.57,85.9,1.095886632,4.35,14.42482336,132.0405708,0,
LM-12-043,190,52.65,83.24,-1.142326595,3.83,7.52470161,120.6626336,0,
LM-12-045,187,52.3,83.39,-1.506787974,4.65,7.81454159,110.7669644,1,1
LM-12-048,190,55.24,88.21,0.831362853,4.7,9.67593662,130.8054068,1,1
LM-12-050,187,52.53,88.51,-0.351027887,3.96,5.54349167,114.359356,0,
LM-12-051,198,54.41,84.42,0.458203756,4.35,7.84983577,119.7559684,1,3
LM-12-055,189,52.99,82.8,-1.202147139,3.94,8.38097902,112.9412496,1,1
LM-12-056,197,55.37,85.27,0.891862751,3.93,7.02293554,120.768558,0,
LM-12-057,203,55.6,88.94,2.283613423,4.83,5.54032071,123.4232088,0,
LM-12-058,202,55.38,88.43,2.007579092,3.13,5.01591575,119.8603152,0,
LM-12-059,199,55.97,88.6,1.985615216,4.18,7.76632821,130.44741,1,3
LM-12-060,201,55.6,87.67,1.837509086,3.87,9.67024005,127.7801,0,
LM-12-062,198,54.65,87.43,1.175376472,4.61,8.23075883,126.8924428,0,
LM-12-064,192,52.83,88.45,0.19425376,4.38,8.11655252,123.329352,0,
LM-12-067,204,56.09,91.67,3.122059545,4.3,14.80571787,152.0033756,0,
LM-12-068,202,54.33,88.49,1.642257929,5.37,12.18281367,140.6226776,0,
LM-12-069,185,52.25,81.84,-2.02956608,3.59,7.08743096,115.5295696,0,
LM-12-070,183,50.45,79.47,-3.354014432,3.49,8.10966684,107.4977088,1,1
LM-12-071,203,54.93,90.85,2.44275328,3.88,6.18947296,133.5547032,0,
LM-12-072,204,56,88.59,2.444202165,4.3,9.2005972,139.403958,0,
LM-12-079,195,52.72,83.85,-0.539412097,5.02,14.94535259,125.6786916,1,1
LM-12-082,195,53.66,86.25,0.301854869,4.07,13.58244977,127.252806,0,
LM-12-083,187,52.3,83.72,-1.437630863,3.36,6.60212287,109.8502036,0,
LM-12-087,193,52.66,84.79,-0.543967372,3.56,7.16776756,127.0116564,0,
LM-12-088,192,53.01,84.38,-0.593901905,3.96,10.00026311,117.5157468,1,3
