"","Wing_mm","Head_mm","SternL_mm","BodySize","GizzardEmptyFFDM","TotalFat","LDBM","Oxalat","OxalatIntens","Notes","BirdID","Phase","CollYear","CollMonth","CollDay","Sex","Age","WeightNE","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","SI.weight","SeqRun"
"110",191,52.07,79.91,-1.958949687,3.57,9.77311264,122.2581608,0,NA,NA,"LM-09-032","early",2009,10,4,"F","A",486.23,171,NA,38,7.82,22.22,NA,1
"113",195,53.87,84.75,0.063083404,3.93,8.83240247,124.3756192,0,NA,NA,"LM-09-044","early",2009,10,2,"F","A",516.82,191,NA,41,7.93,21.47,NA,1
"117",192,52.44,83.37,-1.010707675,4.67,7.77178942,115.7184664,0,NA,NA,"LM-09-058","early",2009,10,5,"F","J",512.6,194,NA,45,8.78,23.2,NA,1
"118",192,52.36,82.77,-1.16523989,3.63,4.82935966,108.6881136,1,2,NA,"LM-09-047","early",2009,10,2,"F","J",460.14,190,NA,45,9.78,23.68,NA,1
"119",201,54.01,88.36,1.40986904,4.33,7.34259356,131.4358644,0,NA,NA,"LM-09-056","early",2009,10,5,"M","A",552.38,190,NA,44,7.97,23.16,NA,1
"120",204,56.19,86.53,2.080875176,4.03,6.10295545,129.6486796,0,NA,NA,"LM-09-069","early",2009,10,6,"M","A",532.19,183,NA,43,8.08,23.5,NA,1
"122",191,51.37,83,-1.563317775,3.35,2.16370329,110.5123284,0,NA,NA,"LM-10-102","early",2010,10,2,"F","J",465.1,187,95,40,8.6,21.39,20.4257149,NA
"123",201,54.64,87,1.351595028,3.58,3.40453051,118.5087368,0,NA,"1","LM-10-291","early",2010,10,6,"M","A",504,180,84,42,8.33,23.33,16.66666667,1
"124",208,55.11,88.19,2.399972701,3.41,3.13851853,130.5585,0,NA,"1","LM-10-218","early",2010,10,4,"M","A",496,174,87,38,7.66,21.84,17.54032258,1
"125",197,54.17,84.81,0.363581722,4.05,6.68426538,123.7447672,0,NA,NA,"LM-09-089","early",2009,10,3,"M","J",540.74,200,NA,47,8.69,23.5,NA,1
"126",201,52.84,88.2,0.955255117,3.75,6.22705739,117.7327612,1,3,NA,"LM-09-007","early",2009,10,1,"M","J",540.71,193,NA,44,8.14,22.8,NA,1
"127",202,52.72,85.15,0.362864864,3.9,8.40510049,122.9183136,0,NA,NA,"LM-09-088","early",2009,10,3,"M","A",518.71,157,NA,33,6.36,21.02,NA,1
"128",204,56.77,90.54,3.129980952,4.45,8.22021785,136.9160408,0,NA,NA,"LM-09-026","early",2009,10,4,"M","A",581.84,189,NA,43,7.39,22.75,NA,1
"129",198,53.31,86.64,0.527552308,4.24,5.04115329,123.2226388,0,NA,NA,"LM-09-036","early",2009,10,5,"M","A",509.35,174,NA,38,7.46,21.84,NA,1
"130",189,53.48,85.3,-0.50187855,4.19,3.46103911,115.2270192,0,NA,NA,"LM-09-093","early",2009,10,3,"M","J",499.91,194,NA,45,9,23.2,NA,1
"134",205,54.57,86.64,1.610866387,4.68,8.60375449,133.798652,0,NA,"1","LM-09-143","early",2009,10,5,"M","J",556.61,198,NA,45,8.08,22.73,NA,1
"135",188,53.28,85.44,-0.634496328,4.21,7.72454472,113.6489224,0,NA,"1","LM-09-139","early",2009,10,5,"F","J",482.85,179,NA,41,8.49,22.91,NA,1
"136",191,52.12,82.06,-1.490385626,3.91,8.62987274,118.7051656,0,NA,"1","LM-09-138","early",2009,10,5,"F","J",485.8,189,NA,46,9.47,24.34,NA,1
"137",192,51.66,80.96,-1.796486284,3.72,5.47114189,112.9959072,0,NA,"3","LM-09-087","early",2009,10,3,"F","J",480.24,197,NA,46,9.58,23.35,NA,1
"138",200,52.25,86.62,0.321821029,4.3,6.72114504,118.7621896,0,NA,"2","LM-09-107","early",2009,10,3,"M","J",513.23,179,NA,41,7.99,22.91,NA,1
"139",180,49.65,80.56,-3.683437909,3.54,4.83664171,94.8416616,0,NA,"2","LM-09-154","early",2009,10,7,"F","J",444.17,205,NA,45,10.13,21.95,NA,1
"151",201,55.05,87.66,1.63746832,4.15,6.07454695,126.2584356,0,NA,"2","LM-09-166","early",2009,10,6,"M","A",539.92,174,NA,40,7.41,22.99,NA,1
"153",199,54.7,89.75,1.769544047,4.42,4.9577337,130.5207196,0,NA,"1","LM-09-053","early",2009,10,3,"M","J",513.86,186,NA,42,8.17,22.58,NA,1
"154",189,52.18,85.25,-0.980227126,3.97,5.93809812,108.5946512,0,NA,"3","LM-09-122","early",2009,10,6,"F","J",477.84,204,NA,47,9.84,23.04,NA,1
"155",202,54.77,88.9,1.886536476,3.82,5.60679798,120.10525,0,NA,"1","LM-09-106","early",2009,10,3,"M","J",515.49,201,NA,50,9.7,24.88,NA,1
"156",202,53.14,86.24,0.742450969,4.24,9.13172678,127.6644744,0,NA,"2","LM-09-072","early",2009,10,3,"M","J",552.66,185,NA,45,8.14,24.32,NA,1
"157",191,52.88,82.01,-1.227339843,3.8,6.83955041,104.3880492,0,NA,"1","LM-09-085","early",2009,10,3,"F","J",474.89,190,NA,44,9.27,23.16,NA,1
"158",187,52.43,82.86,-1.571071462,3.45,10.27536305,108.7994008,0,NA,"2","LM-09-001","early",2009,10,1,"F","J",479.67,182,NA,41,8.55,22.53,NA,1
"159",205,55.55,89.62,2.588078221,4.54,6.81224305,139.4811732,1,1,"1","LM-09-009","early",2009,10,1,"M","J",565.4,193,NA,41,7.25,21.24,NA,1
"160",206,55.07,88.74,2.3208843,3.67,7.77986421,124.0158476,0,NA,"2","LM-09-010","early",2009,10,1,"M","J",524.13,181,NA,42,8.01,23.2,NA,1
"161",190,50.01,80.37,-2.693920348,3.38,4.65770462,101.1259312,0,NA,"3","LM-09-034","early",2009,10,4,"F","J",452.14,190,NA,43,9.51,22.63,NA,1
"162",188,54.14,82.81,-0.876143392,4.02,5.86314969,108.0246084,0,NA,"2","LM-09-045","early",2009,10,2,"F","J",482.96,196,NA,45,9.32,22.96,NA,1
"163",201,54.32,86.48,1.127452132,3.55,5.71752493,129.320378,0,NA,"1","LM-09-077","early",2009,10,4,"M","A",538.43,196,NA,47,8.73,23.98,NA,1
"164",196,53.01,82.38,-0.653127416,4.29,9.29429386,112.2492324,0,NA,"3","LM-09-071","early",2009,10,3,"F","J",491.29,192,NA,45,9.16,23.44,NA,1
"165",205,52.07,88.59,1.119771605,3.98,8.38856947,130.4911832,0,NA,"1","LM-09-078","early",2009,10,4,"M","A",536.9,179,NA,37,6.89,20.67,NA,1
"166",199,55.13,86.03,1.144711876,4.34,7.43488068,122.3252804,0,NA,"2","LM-09-073","early",2009,10,3,"M","J",522.08,186,NA,42,8.04,22.58,NA,1
"167",202,53.86,85.41,0.827638483,4.15,6.03837206,116.768086,0,NA,"3","LM-09-012","early",2009,10,1,"M","J",507.41,199,NA,48,9.46,24.12,NA,1
"168",189,53.99,82.77,-0.848533975,3.44,4.79168726,105.2660052,1,2,NA,"LM-10-134","early",2010,10,2,"M","J",468.19,198,93,46,9.83,23.23,19.86373054,1
"170",208,55.19,89.04,2.606896667,3.7,5.77205168,123.5538984,0,NA,"3","LM-09-011","early",2009,10,1,"M","J",521.94,180,NA,39,7.47,21.67,NA,1
"171",196,52.64,87.15,0.213344116,3.87,9.1158856,117.4680296,1,3,"3","LM-09-104","early",2009,10,2,"F","J",537.59,204,NA,45,8.37,22.06,NA,1
"172",197,53.08,81.23,-0.778959333,3.91,9.39844353,121.8049268,0,NA,"3","LM-09-103","early",2009,10,2,"M","A",510.35,181,NA,38,7.45,20.99,NA,1
"173",193,51.35,83.48,-1.289969372,4.02,8.78396866,119.2536368,0,NA,"1","LM-09-004","early",2009,10,1,"F","J",483.03,200,NA,48,9.94,24,NA,1
"174",205,54.17,86.95,1.531872088,3.67,4.46633267,126.3600216,0,NA,"1","LM-09-039","early",2009,10,6,"M","A",539.8,173,NA,40,7.41,23.12,NA,1
"175",189,50.87,83.28,-1.864543347,3.64,10.21236514,109.554988,0,NA,"1","LM-09-005","early",2009,10,1,"F","J",476.38,189,NA,42,8.82,22.22,NA,1
"176",200,54.56,85.92,1.00649353,3.21,6.79499233,124.809648,0,NA,"1","LM-09-008","early",2009,10,1,"M","J",506.24,186,NA,40,7.9,21.51,NA,1
"177",200,54.87,86.2,1.176741344,4.06,7.8441392,118.8201996,0,NA,"2","LM-09-048","early",2009,10,2,"M","J",512.8,178,NA,41,8,23.03,NA,1
"178",191,52.97,82.41,-1.111122027,3.23,4.06395983,99.5714164,0,NA,"1","LM-09-051","early",2009,10,3,"F","J",415.68,189,NA,42,10.1,22.22,NA,1
"179",203,54.09,87.64,1.467727059,4.22,5.48768784,120.737088,0,NA,"2","LM-09-052","early",2009,10,3,"M","J",541.75,177,NA,41,7.57,23.16,NA,1
"180",188,51.99,82.41,-1.733755566,3.68,3.06872291,96.1544352,0,NA,"3","LM-09-092","early",2009,10,3,"F","J",442.59,199,NA,47,10.62,23.62,NA,1
"181",192,52.26,83.65,-1.016810946,3.72,5.96263089,129.7417476,0,NA,"1","LM-10-032","early",2010,10,2,"F","A",503.3,183,92,40,7.95,21.86,18.27935625,1
"182",188,53.07,81.51,-1.53367368,3.15,7.18673622,104.3955812,1,2,"1","LM-10-324","early",2010,10,6,"F","J",429.93,164,83,35,8.14,21.34,19.30546833,1
"183",190,54.14,86.19,0.012147319,3.51,12.49461733,119.1867144,1,2,"1","LM-10-013","early",2010,10,1,"F","A",523.5,195,88,47,8.98,24.1,16.80993314,1
"184",191,52.78,83.7,-0.909161628,3.95,4.5654175,114.5292448,0,NA,"1","LM-10-208","early",2010,10,4,"F","A",477.93,165,85,34,7.11,20.61,17.78503128,1
"185",193,52.66,81.02,-1.334034967,3.81,6.43449095,110.4240316,0,NA,"1","LM-10-229","early",2010,10,5,"F","J",465.58,177,86,40,8.59,22.6,18.47158383,1
"186",202,53.74,87.07,1.132331685,3.55,2.35547161,111.0229808,0,NA,"1","LM-10-097","early",2010,10,3,"M","J",491.1,190,92,43,8.76,22.63,18.73345551,1
"187",198,54.6,85.62,0.778065191,3.54,5.96223452,121.0968596,0,NA,"1","LM-10-292","early",2010,10,6,"M","A",501.47,179,93,37,7.38,20.67,18.5454763,1
"188",190,51.79,85.58,-0.961453961,3.65,6.61239994,117.5810916,0,NA,"1","LM-10-048","early",2010,10,3,"M","J",486.73,187,90,43,8.83,22.99,18.49074436,1
"189",201,52.74,87.4,0.751611498,3.4,3.83174452,122.4771472,NA,NA,"1","LM-10-285","early",2010,10,5,"M","A",490,169,84,37,7.55,21.89,17.14285714,1
"190",200,54.29,86.82,1.097930784,3.22,4.31366122,126.3978404,0,NA,"1","LM-10-243","early",2010,10,4,"M","A",490.05,145,75,30,6.12,20.69,15.30456076,1
"192",186,51.75,85.68,-1.314801759,4.25,6.32715539,115.519474,0,NA,"1","LM-10-107","early",2010,10,2,"F","J",470.26,188,95,41,8.72,21.81,20.20159061,1
"193",185,52.12,80.23,-2.413755975,3.65,3.49435144,108.0828156,0,NA,NA,"LM-10-274","early",2010,10,6,"F","A",468,180,85,41,8.76,22.78,18.16239316,1
"195",188,51.77,83.63,-1.557261863,3.36,6.59237463,121.1521088,0,NA,"1","LM-10-085","early",2010,10,2,"F","A",475.2,172,85,37,7.79,21.51,17.88720539,1
"196",187,49.67,82.11,-2.721571193,NA,3.44251131,108.3194296,0,NA,"1","LM-18-061","early",2018,10,6,"F","A",452,178.5,83.5,42,9.29,23.53,18.47345133,6
"197",200,55.18,90.12,2.109813043,NA,4.37444192,130.7569008,1,3,"1","LM-18-069","early",2018,10,10,"M","J",549.35,187,82.5,46,8.37,24.6,15.01774825,6
"198",200,53.79,84.59,0.450646284,3.27,2.97493828,117.3811132,0,NA,"1","LM-10-058","early",2010,10,6,"M","J",493.25,185,89,43,8.72,23.24,18.04358844,2
"199",206,55.56,88.34,2.413408584,3.63,4.2259546,123.3455992,1,1,"1","LM-10-023","early",2010,10,1,"M","J",534.97,202,103,43,8.04,21.29,19.25341608,1
"201",185,50.15,79.87,-3.198203438,3.49,2.16251418,88.5071112,1,2,"3","LM-10-220","early",2010,10,4,"F","J",392.93,194,90,46,11.71,23.71,22.9048431,1
"202",206,56.22,88.43,2.669803729,4.08,2.40999836,132.3700556,1,1,"1","LM-10-066","early",2010,10,3,"M","A",551.19,173,90,35,6.35,20.23,16.32830784,1
"203",198,53.26,87.45,0.67930657,2.99,7.57401613,116.05923,0,NA,"2","LM-10-202","early",2010,10,3,"M","J",472,179,97,35,7.42,19.55,20.55084746,1
"204",198,53.33,86.13,0.427871141,3.71,3.59660723,126.313882,1,2,NA,"LM-10-011","early",2010,10,1,"M","J",511.94,190,95,42,8.2,22.11,18.55686213,2
"206",193,52.11,83.5,-1.0122539,3.52,8.21665052,121.2667484,0,NA,"1","LM-10-306","early",2010,10,6,"F","J",489.68,189,104,36,7.35,19.05,21.23835975,2
"207",202,52.88,88.77,1.179081437,4.19,13.61182695,136.60655,0,NA,"1","LM-10-207","early",2010,10,3,"M","A",560,172,83,39,6.96,22.67,14.82142857,2
"208",184,52.67,81.9,-1.95581111,3.03,5.62475347,116.6924484,0,NA,"1","LM-10-251","early",2010,10,5,"F","J",472.51,188,94,42,8.89,22.34,19.89375886,2
"209",205,53.35,87.2,1.289145695,4.33,5.81542065,121.1538836,0,NA,"1","LM-10-268","early",2010,10,5,"M","J",533.67,200,99,45,8.43,22.5,18.55078981,2
