"","Fruits_mean","Infructescence_mean","Leaves_mean"
"110",26.0447677437692,31.4142946613654,2.49366011526923
"113",26.0447677437692,31.4142946613654,2.49366011526923
"117",26.0447677437692,31.4142946613654,2.49366011526923
"118",26.0447677437692,31.4142946613654,2.49366011526923
"119",26.0447677437692,31.4142946613654,2.49366011526923
"120",26.0447677437692,31.4142946613654,2.49366011526923
"122",39.0306824272568,15.4438302794595,14.9665129212973
"123",39.0306824272568,15.4438302794595,14.9665129212973
"124",39.0306824272568,15.4438302794595,14.9665129212973
"125",26.0447677437692,31.4142946613654,2.49366011526923
"126",26.0447677437692,31.4142946613654,2.49366011526923
"127",26.0447677437692,31.4142946613654,2.49366011526923
"128",26.0447677437692,31.4142946613654,2.49366011526923
"129",26.0447677437692,31.4142946613654,2.49366011526923
"130",26.0447677437692,31.4142946613654,2.49366011526923
"134",26.0447677437692,31.4142946613654,2.49366011526923
"135",26.0447677437692,31.4142946613654,2.49366011526923
"136",26.0447677437692,31.4142946613654,2.49366011526923
"137",26.0447677437692,31.4142946613654,2.49366011526923
"138",26.0447677437692,31.4142946613654,2.49366011526923
"139",26.0447677437692,31.4142946613654,2.49366011526923
"151",26.0447677437692,31.4142946613654,2.49366011526923
"153",26.0447677437692,31.4142946613654,2.49366011526923
"154",26.0447677437692,31.4142946613654,2.49366011526923
"155",26.0447677437692,31.4142946613654,2.49366011526923
"156",26.0447677437692,31.4142946613654,2.49366011526923
"157",26.0447677437692,31.4142946613654,2.49366011526923
"158",26.0447677437692,31.4142946613654,2.49366011526923
"159",26.0447677437692,31.4142946613654,2.49366011526923
"160",26.0447677437692,31.4142946613654,2.49366011526923
"161",26.0447677437692,31.4142946613654,2.49366011526923
"162",26.0447677437692,31.4142946613654,2.49366011526923
"163",26.0447677437692,31.4142946613654,2.49366011526923
"164",26.0447677437692,31.4142946613654,2.49366011526923
"165",26.0447677437692,31.4142946613654,2.49366011526923
"166",26.0447677437692,31.4142946613654,2.49366011526923
"167",26.0447677437692,31.4142946613654,2.49366011526923
"168",39.0306824272568,15.4438302794595,14.9665129212973
"170",26.0447677437692,31.4142946613654,2.49366011526923
"171",26.0447677437692,31.4142946613654,2.49366011526923
"172",26.0447677437692,31.4142946613654,2.49366011526923
"173",26.0447677437692,31.4142946613654,2.49366011526923
"174",26.0447677437692,31.4142946613654,2.49366011526923
"175",26.0447677437692,31.4142946613654,2.49366011526923
"176",26.0447677437692,31.4142946613654,2.49366011526923
"177",26.0447677437692,31.4142946613654,2.49366011526923
"178",26.0447677437692,31.4142946613654,2.49366011526923
"179",26.0447677437692,31.4142946613654,2.49366011526923
"180",26.0447677437692,31.4142946613654,2.49366011526923
"181",39.0306824272568,15.4438302794595,14.9665129212973
"182",39.0306824272568,15.4438302794595,14.9665129212973
"183",39.0306824272568,15.4438302794595,14.9665129212973
"184",39.0306824272568,15.4438302794595,14.9665129212973
"185",39.0306824272568,15.4438302794595,14.9665129212973
"186",39.0306824272568,15.4438302794595,14.9665129212973
"187",39.0306824272568,15.4438302794595,14.9665129212973
"188",39.0306824272568,15.4438302794595,14.9665129212973
"189",39.0306824272568,15.4438302794595,14.9665129212973
"190",39.0306824272568,15.4438302794595,14.9665129212973
"192",39.0306824272568,15.4438302794595,14.9665129212973
"193",39.0306824272568,15.4438302794595,14.9665129212973
"195",39.0306824272568,15.4438302794595,14.9665129212973
"196",NA,NA,NA
"197",NA,NA,NA
"198",39.0306824272568,15.4438302794595,14.9665129212973
"199",39.0306824272568,15.4438302794595,14.9665129212973
"201",39.0306824272568,15.4438302794595,14.9665129212973
"202",39.0306824272568,15.4438302794595,14.9665129212973
"203",39.0306824272568,15.4438302794595,14.9665129212973
"204",39.0306824272568,15.4438302794595,14.9665129212973
"206",39.0306824272568,15.4438302794595,14.9665129212973
"207",39.0306824272568,15.4438302794595,14.9665129212973
"208",39.0306824272568,15.4438302794595,14.9665129212973
"209",39.0306824272568,15.4438302794595,14.9665129212973
"210",39.0306824272568,15.4438302794595,14.9665129212973
"211",39.0306824272568,15.4438302794595,14.9665129212973
"212",39.0306824272568,15.4438302794595,14.9665129212973
"213",39.0306824272568,15.4438302794595,14.9665129212973
"214",39.0306824272568,15.4438302794595,14.9665129212973
"215",39.0306824272568,15.4438302794595,14.9665129212973
"216",39.0306824272568,15.4438302794595,14.9665129212973
"217",39.0306824272568,15.4438302794595,14.9665129212973
"218",39.0306824272568,15.4438302794595,14.9665129212973
"219",39.0306824272568,15.4438302794595,14.9665129212973
"220",39.0306824272568,15.4438302794595,14.9665129212973
"221",39.0306824272568,15.4438302794595,14.9665129212973
"222",39.0306824272568,15.4438302794595,14.9665129212973
"223",39.0306824272568,15.4438302794595,14.9665129212973
"224",39.0306824272568,15.4438302794595,14.9665129212973
"225",39.0306824272568,15.4438302794595,14.9665129212973
"226",39.0306824272568,15.4438302794595,14.9665129212973
"227",39.0306824272568,15.4438302794595,14.9665129212973
"228",39.0306824272568,15.4438302794595,14.9665129212973
"229",39.0306824272568,15.4438302794595,14.9665129212973
"230",39.0306824272568,15.4438302794595,14.9665129212973
"231",39.0306824272568,15.4438302794595,14.9665129212973
"232",39.0306824272568,15.4438302794595,14.9665129212973
"233",39.0306824272568,15.4438302794595,14.9665129212973
"234",39.0306824272568,15.4438302794595,14.9665129212973
"235",39.0306824272568,15.4438302794595,14.9665129212973
"236",39.0306824272568,15.4438302794595,14.9665129212973
"237",39.0306824272568,15.4438302794595,14.9665129212973
"238",39.0306824272568,15.4438302794595,14.9665129212973
"239",39.0306824272568,15.4438302794595,14.9665129212973
"240",39.0306824272568,15.4438302794595,14.9665129212973
"241",39.0306824272568,15.4438302794595,14.9665129212973
"242",39.0306824272568,15.4438302794595,14.9665129212973
"243",39.0306824272568,15.4438302794595,14.9665129212973
"244",39.0306824272568,15.4438302794595,14.9665129212973
"245",39.0306824272568,15.4438302794595,14.9665129212973
"246",39.0306824272568,15.4438302794595,14.9665129212973
"247",39.0306824272568,15.4438302794595,14.9665129212973
"248",39.0306824272568,15.4438302794595,14.9665129212973
"250",39.0306824272568,15.4438302794595,14.9665129212973
"251",39.0306824272568,15.4438302794595,14.9665129212973
"253",39.0306824272568,15.4438302794595,14.9665129212973
"254",42.6552988507317,3.93715404943902,17.3206915975122
"255",42.6552988507317,3.93715404943902,17.3206915975122
"256",39.0306824272568,15.4438302794595,14.9665129212973
"258",39.0306824272568,15.4438302794595,14.9665129212973
